assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,family,timeframe,leverage,params,robust_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,6974.470443415728,62.33365463539799,-76.94203535488778,1.3628981100331967,1.0580106344198934,40.93567251461988,171,0,707447044.3415729,BNBUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,371.5717655091671,20.545409883905897,-85.86489882815607,1.205462196941151,0.6107987186965536,29.86111111111111,144,0,47157176.55091672,XRPUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,1228.7788635149993,36.33085012609496,-73.61945861884259,1.240925980964719,0.7951195923656919,36.0,150,0,132877886.35149994,ADAUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,10776.453565374422,93.02138180398019,-76.83631372659292,1.2940837941140322,1.0842492178443197,39.63963963963964,111,0,1087645356.5374422,DOGEUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,3233.4230111142865,58.66360363690999,-71.5448789001005,1.2050111360081477,0.9687790348671808,38.84892086330935,139,0,333342301.1114286,LINKUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,-73.50940474411063,-14.175792473062588,-88.4784467266628,0.8719123577428333,0.07060852199388643,35.36585365853659,164,0,2649059.5255889366,LTCUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,11006.46368728313,118.44797236531078,-69.29764345982845,1.4142725147858979,1.3314464815389295,40.909090909090914,110,0,1110646368.728313,SOLUSDT
10,9,3268.3008740184723,53.28339750268758,-75.22788617271775,1.2675048875393755,1.005623308442353,1441,0,supertrend,4h,1.0,"{""mult"": 3.5, ""period"": 10}",True,5099.27146500563,95.07424509563207,-76.9679164147521,1.1810765456612469,1.2143137684608503,34.90566037735849,106,0,519927146.5005629,AVAXUSDT
10,9,3866.1345924432862,56.387108794559836,-79.69895150785086,1.2216921725366938,1.0032702792055954,1441,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 10}",True,2784.919210292251,45.21653195506787,-57.52745717183241,1.3077635512537018,1.0293147196635035,38.20224719101123,178,0,288491921.0292251,BTCUSDT
10,9,3866.1345924432862,56.387108794559836,-79.69895150785086,1.2216921725366938,1.0032702792055954,1441,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 10}",True,3864.5505478858654,50.43025688451772,-75.26095290831262,1.3014038669749277,0.9710153681607642,38.69047619047619,168,0,396455054.7885865,ETHUSDT
10,9,3866.1345924432862,56.387108794559836,-79.69895150785086,1.2216921725366938,1.0032702792055954,1441,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 10}",True,9398.7091854546,67.86711821923357,-80.8732993423445,1.315338912928466,1.0663149025841838,40.93567251461988,171,0,949870918.54546,BNBUSDT
10,9,3866.1345924432862,56.387108794559836,-79.69895150785086,1.2216921725366938,1.0032702792055954,1441,0,supertrend,4h,1.15,"{""mult"": 3.5, ""period"": 10}",True,311.6570328140906,18.587998124867244,-90.0674852312588,1.156614073875587,0.5992832378802355,29.86111111111111,144,0,41165703.281409055,XRPUSDT
