assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_rank,train_cagr_pct,train_mdd_pct,mdd35_ok,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,8,32.05638492520243,10.914479637263419,-22.314001189454018,1.8042346876317232,0.7319972520702891,384,160,30,300,1.1,0.5,0.75,oos,4,27.02332859664174,-43.49000317302348,True,-0.12022476429697226,-0.06781684582338743,-16.864275830645457,0.9953021788779302,0.0742882039813649,40.0,20,0,9987977.523570303,AVAXUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,24.7303884460643,8.53101649688326,-22.09857382163761,1.6629102385252017,0.6571886007343751,34.78260869565217,46,0,12473038.84460643,BTCUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,38.83113182776823,12.923844815007923,-19.078223063730338,1.5527414983412244,0.7932946119329463,40.0,40,0,13883113.182776822,ETHUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,-9.063778735248295,-3.544079343781148,-28.690783425523847,0.8575601934840268,-0.1291182257410088,31.48148148148148,54,0,9093622.12647517,BNBUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,159.92710045633083,46.82666105844226,-29.23911302541824,2.4112933472774527,1.455048651883883,34.48275862068966,29,0,25992710.04563308,XRPUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,56.93061793303009,19.741794472650696,-33.24515519549431,2.0855113007754253,0.7903143973335494,45.83333333333333,24,0,15693061.79330301,ADAUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,96.62708185624003,37.20245997490193,-33.459242735326434,1.9343516302606303,1.1839555482789637,40.74074074074074,27,0,19662708.185624003,DOGEUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,26.02477824795395,10.693365176614545,-25.50380346182609,1.4419904660990128,0.516126402249681,35.483870967741936,31,0,12602477.824795395,LINKUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,-18.017999906102155,-7.349124365063431,-49.58198613013207,0.7915678863815051,-0.16151695912977385,35.294117647058826,34,0,8198200.009389784,LTCUSDT
10,7,25.377583347009125,9.612190836748901,-27.09729344367497,1.4973659822201186,0.5866575014920281,322,200,40,400,1.05,0.5,0.75,oos,5,26.78285319718059,-44.70577921246708,True,9.00740380921572,4.886650018823979,-24.744441260869632,1.2796183512425723,0.34515899726309435,31.818181818181817,22,0,10900740.380921572,SOLUSDT
