assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,entry_n,exit_n,ema_n,strong_threshold,base_exposure,strong_exposure,part,train_ok
10,10,427.6206940931129,30.014376149107136,-45.59047548132734,1.5605257164002593,1.069685707317808,937,160,40,300,1.1,0.5,0.75,train,False
10,10,368.39583078744977,29.719557317978904,-45.79693541077894,1.5816978787475815,1.0621118512395014,1018,160,30,300,1.05,0.35,0.75,train,False
10,10,388.6104835108663,29.66372675315088,-45.56678548696632,1.5960133144052313,1.0796783485845243,1018,160,30,300,1.05,0.5,0.75,train,False
10,10,408.005047942549,29.148807302198186,-54.08325132162702,1.393393659274512,0.9010521960382991,956,200,30,300,1.1,0.35,1.0,train,False
10,10,400.9183886109993,29.06002338346989,-46.44291103941212,1.5385891685917534,1.061114498149445,888,160,40,400,1.05,0.5,0.75,train,False
10,10,391.90358541886553,29.041984499786988,-49.74037603096937,1.5503859865434588,0.9631203975956126,880,200,40,300,1.05,0.5,0.75,train,False
10,10,390.3597514548979,28.619713874535456,-46.48727327859979,1.5599447562614914,1.0524156671068985,888,160,40,400,1.05,0.35,0.75,train,False
10,10,375.7541932331542,28.365203850865218,-50.65699025674486,1.5562742290816258,0.9609615017371808,880,200,40,300,1.05,0.35,0.75,train,False
10,10,359.4031909121813,27.196180526157153,-45.98921740422716,1.5403287926693885,0.9469948315659585,880,200,40,300,1.1,0.5,0.75,train,False
10,10,326.6088517193554,25.7157245636508,-45.17308107836651,1.544186012150936,0.9312712731161992,880,200,40,300,1.1,0.35,0.75,train,False
10,10,316.2783867269693,25.64061183485643,-45.286754915918806,1.5604819776259082,0.9606328695867687,956,200,30,300,1.05,0.35,0.75,train,False
10,10,325.2667065043204,25.597468975100046,-45.14019597606787,1.5581103225179764,1.006341857241594,971,160,30,400,1.1,0.35,0.75,train,False
