assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,ema_n,leverage,part,eligible
10,10,1378.3508056054225,56.04640332125693,-58.91952600050472,1.462171858722884,1.0007684712946814,1935,0,200,80,400,1.0,train,True
10,10,1132.131398985217,49.60670919903205,-59.07201170848451,1.4561265442571798,1.0352454560832949,1470,0,200,40,300,1.0,train,True
10,10,1666.8141074052978,61.753925416125185,-59.07764789178154,1.464789165999243,1.1791501930293244,2456,0,160,60,200,1.0,train,True
10,10,1655.5374357978692,61.855174394965786,-59.16184286350777,1.4802864528336332,1.1113557965382501,2048,0,160,60,400,1.0,train,True
10,10,1233.757132447006,57.10343406655862,-59.265090691228885,1.5021310755693786,1.158117537060582,1920,0,160,40,200,1.0,train,True
10,10,1706.360358846681,59.397446634202396,-59.60347252309771,1.3551501252797415,1.075087273321185,2624,0,200,80,200,1.0,train,True
10,10,915.4931166413087,48.77873504464628,-59.64187254878499,1.4088095945578547,1.0505092110366303,3419,0,80,60,400,0.8,train,True
10,9,864.8412916211221,47.122528699341345,-59.96648326351159,1.2526930497217101,1.0967081486676427,5162,0,120,60,100,0.8,train,True
10,10,2102.106390635716,62.95535059960201,-60.189902671987156,1.3955705486637358,1.1567981774852152,3126,0,160,80,200,1.0,train,True
10,10,1285.2057768088011,55.67867404400582,-60.254409053134594,1.462064933218171,1.153985854205951,1918,0,160,40,400,1.0,train,True
10,9,598.494532150392,42.614977672250156,-60.26356398924618,1.2532878732938308,0.9931243466470401,5195,0,80,40,100,0.8,train,True
10,10,907.0673706714532,50.91183617523723,-60.49832375786576,1.352034042835991,1.0065815520517594,2685,0,200,40,100,1.0,train,True
10,9,355.820670225547,35.70455881790584,-60.53381396606462,1.2785484049437854,0.865846221634416,3577,0,80,30,200,0.8,train,True
10,10,957.5877814895625,46.14149943633046,-60.64681132787694,1.4415244620754577,1.0145480547156236,1551,0,200,40,400,1.0,train,True
10,10,771.8794413466402,41.64182875268416,-60.728994946037446,1.423250436333763,1.0268980056150838,1562,0,200,30,400,1.0,train,True
10,10,2238.259056309838,67.33836657105722,-60.90561070061345,1.4966883167894824,1.1588973245808663,2581,0,160,80,300,1.0,train,True
