symbol,strategy,timeframe,leverage,data_start,data_end,bars,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw
ADAUSDT,Donchian 80/40,1h,1.0,2018-04-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,73084,1340.7679127506897,37.65707037758386,-69.14584799476206,1.2277947214991003,0.8175254172792695,35.35714285714286,280,0,144076791.27506897
ADAUSDT,Donchian 80/40,1h,2.0,2018-04-17 04:00:00+00:00,2026-08-21 23:00:00+00:00,73084,1578.1035090646426,40.19489002420742,-93.07202579518784,1.078843540401863,0.8764575451589841,35.35714285714286,280,0,167810350.90646428
DOGEUSDT,"Supertrend 10,3",4h,1.0,2019-07-05 12:00:00+00:00,2026-08-21 20:00:00+00:00,15625,3477.950284080013,65.15362604210462,-83.13566679451263,1.2746202372666577,0.9357469236140079,38.62068965517241,145,0,357795028.40800124
DOGEUSDT,Donchian 20/10,4h,1.0,2019-07-05 12:00:00+00:00,2026-08-21 20:00:00+00:00,15625,9839.101317921966,90.59707767790877,-73.39778061483987,1.1815060553474548,1.0801688194124848,34.054054054054056,185,0,993910131.7921966
DOGEUSDT,Donchian 20/10,4h,2.0,2019-07-05 12:00:00+00:00,2026-08-21 20:00:00+00:00,15625,22466.43434023796,113.8254510099796,-92.62410397131003,1.0405198788920413,1.1606950255272392,34.054054054054056,185,0,2256643434.023796
DOGEUSDT,"Supertrend 40,3",1h,1.0,2019-07-05 12:00:00+00:00,2026-08-21 23:00:00+00:00,62464,454.69198234903183,27.158065520536834,-91.04745319277568,1.054943932236527,0.6950087487783048,37.014925373134325,670,0,55469198.23490319
DOGEUSDT,Donchian 80/40,1h,1.0,2019-07-05 12:00:00+00:00,2026-08-21 23:00:00+00:00,62464,15739.65516844425,103.46356526411809,-72.44617949510076,1.248807620756905,1.2208301188263675,35.18518518518518,216,0,1583965516.844425
DOGEUSDT,Donchian 80/40,1h,2.0,2019-07-05 12:00:00+00:00,2026-08-21 23:00:00+00:00,62464,53703.916232880576,141.52510308255236,-84.65676174220465,1.0804583455407486,1.2993680016186697,35.18518518518518,216,0,5380391623.288057
LINKUSDT,"Supertrend 10,3",4h,1.0,2019-01-16 08:00:00+00:00,2026-08-21 20:00:00+00:00,16643,493.7896186526124,26.427932707965596,-84.11110034157404,1.063472598638633,0.6816864384228174,37.17277486910995,191,0,59378961.865261234
LINKUSDT,Donchian 20/10,4h,1.0,2019-01-16 08:00:00+00:00,2026-08-21 20:00:00+00:00,16643,88.43545984721631,8.698395829890249,-90.9975803778677,1.0239654892281487,0.46125537440482334,34.146341463414636,246,0,18843545.98472163
LINKUSDT,Donchian 20/10,4h,2.0,2019-01-16 08:00:00+00:00,2026-08-21 20:00:00+00:00,16643,-81.12368168974416,-19.706601180392557,-99.78756011021449,0.9911464741492416,0.4523202827419517,34.146341463414636,246,0,1887631.8310255832
LINKUSDT,"Supertrend 40,3",1h,1.0,2019-01-16 10:00:00+00:00,2026-08-21 23:00:00+00:00,66530,-37.43062615530322,-5.985912782841152,-84.17364360781995,0.9794481204892921,0.3050727624598584,41.80645161290323,775,0,6256937.384469678
LINKUSDT,Donchian 80/40,1h,1.0,2019-01-16 10:00:00+00:00,2026-08-21 23:00:00+00:00,66530,420.37305972457307,24.249930541193578,-83.08654459675124,1.0621512814963874,0.6598267559008285,37.5886524822695,282,0,52037305.972457305
