single,pair_total,ultra,p1,p2,trail,edge,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
1.0,1.2,1.5,1.25,1.75,0.12,0.035,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,33.770409259303236,1.3377040925930324,-62.75358708912968,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,244.62304458328808,3.4462304458328807,-46.48141378827981,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,-10.59061492561244,0.8940938507438756,-50.967272196556465,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,65.06863857122482,1.6506863857122482,-50.967272196556564,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,3601.347414835786,37.01347414835786,-50.96727219655659,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,5046.035966287772,51.46035966287772,-49.003472334445284,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,6881.8469411676715,69.81846941167672,-49.9046129574286,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,2300.2938766814445,24.002938766814445,-60.71644438211745,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,28.974250520785105,1.289742505207851,-60.71644438211775,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-4.943979741607496,0.950560202583925,-54.8119255136583,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-7.319686537434422,0.9268031346256558,-41.66030578918514,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,173.74405855994692,2.7374405855994692,-46.330110220334696,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,71.96997442756708,1.7196997442756707,-46.33011022033485,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,55.789531039372456,1.5578953103937245,-53.43165140848733,0
1.0,1.2,1.5,1.25,1.75,0.18,0.035,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,21.691411350727762,1.2169141135072776,-63.801770826167704,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,126.1367727678802,2.261367727678802,-45.478919901524975,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,-20.994335420569865,0.7900566457943013,-53.53109212875913,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,66.93545176542047,1.6693545176542046,-54.00167220701615,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,10548.559950729568,106.48559950729569,-52.188862517560295,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,15667.481344181484,157.67481344181485,-53.58871857832537,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,19110.59392089837,192.1059392089837,-56.05215660254754,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,1966.256282322281,20.66256282322281,-67.0151592504164,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-12.662760128611538,0.8733723987138846,-67.01515925041616,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-6.911433409551804,0.930885665904482,-56.836481368825865,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-30.33036105933108,0.6966963894066892,-46.099822405844,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,202.86201434701266,3.0286201434701265,-48.720514469034484,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,121.40947213794044,2.2140947213794044,-48.07966008629037,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,75.45321343221138,1.7545321343221139,-57.85569837802278,0
1.0,1.2,2.0,1.5,2.25,0.12,0.035,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,24.078343307133608,1.240783433071336,-67.40223551358757,0
1.0,1.2,2.0,1.5,2.25,0.18,0.035,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,154.60088315985794,2.5460088315985794,-50.51986028789166,0
