assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train,total_return_pct,cagr_pct,mdd_pct,profit_factor,sharpe,win_rate_pct,trades,liquidations,final_equity_krw,symbol
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,6774.285664311292,98.77360116924898,-63.346405775170545,1.4518489495544455,1.2893519747114142,41.86046511627907,129,0,687428566.4311292,BNBUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,241.3343561661809,23.5149946736281,-74.72143825892567,1.131549082644552,0.653944542799728,33.980582524271846,103,0,34133435.61661809,XRPUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,1529.840293625907,61.192930672801694,-63.66239631789019,1.44886093519313,1.0288725407812354,42.3728813559322,118,0,162984029.3625907,ADAUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,16739.85423809548,179.18973453002462,-70.25296605024518,1.7483895817701072,1.4753964275632336,37.34939759036144,83,0,1683985423.8095477,DOGEUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,1376.2478073479942,65.87708568934877,-74.27958289197458,1.2661783884898605,1.0322282665738485,39.285714285714285,112,0,147624780.7347994,LINKUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,-65.87493050822727,-16.191324244213124,-84.7406790963867,0.7897357276353582,0.06695516873998852,38.88888888888889,126,0,3412506.949177274,LTCUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,16798.656890922877,237.20584843578746,-49.152849304490196,1.8551726699856856,1.7804797398663934,47.5609756097561,82,0,1689865689.0922875,SOLUSDT
10,9,1798.6574031358064,64.33101671140565,-69.3011166699157,1.4503549423737878,1.1435822477620556,1097,0,120,80,1.0,True,3063.6735235119318,130.3509713080059,-71.17308468335294,1.4582450258952904,1.3861128522799009,37.5,88,0,316367352.3511932,AVAXUSDT
10,9,1642.0052568509082,60.14559416549024,-69.71372331897439,1.3998942745201526,1.1050240748577576,1057,0,120,90,1.0,True,1638.4559805765143,57.19586689267817,-52.48688746216159,1.8787325876973535,1.1747472981302605,40.67796610169492,118,0,173845598.05765143,BTCUSDT
10,9,1642.0052568509082,60.14559416549024,-69.71372331897439,1.3998942745201526,1.1050240748577576,1057,0,120,90,1.0,True,1336.5883643892416,52.517855613271244,-65.88039551696404,1.2698739585828658,0.9991984673521918,42.51968503937008,127,0,143658836.43892416,ETHUSDT
