assets,profitable_assets,median_return_pct,median_cagr_pct,median_mdd_pct,median_profit_factor,median_sharpe,total_trades,total_liquidations,entry_n,exit_n,leverage,robust_train
10,10,1424.638654319443,55.818930267523456,-57.97712162557933,1.524275051248011,1.1328120281819274,1160,0,180,40,1.0,True
10,10,1435.0258230902896,55.67656231652182,-65.78320600230384,1.4466123006961142,1.079461965400354,690,0,220,120,1.0,True
10,10,1463.2568575985829,55.42379058709196,-65.73327132322135,1.537869006959188,1.0428353553417877,974,0,190,60,1.0,True
10,10,1291.3075195875495,55.07866263640808,-55.795587723108596,1.4733703841653187,1.010294873521946,844,0,220,70,1.0,True
10,10,1403.1892000063604,54.77007412725475,-63.19867504414843,1.4984091124681282,1.0569747730227563,736,0,210,110,1.0,True
10,10,1307.0951870568786,54.435181529797674,-59.86803014712298,1.5745267769333382,1.1216046551399168,1073,0,180,50,1.0,True
10,10,1236.630846031373,54.0945261338598,-61.73415525423989,1.5492056594357668,0.9778620208975258,782,0,220,90,1.0,True
10,10,1215.9781886461394,53.78217378669632,-57.677480062811625,1.5728805554916976,1.0549774610883018,983,0,210,50,1.0,True
10,10,1287.2593721422327,53.29067418369888,-58.19599958126499,1.5872707944407236,1.1492221775038205,1099,0,170,50,1.0,True
10,9,1053.46753858636,52.4746325392343,-67.68485233878468,1.2985312118735401,1.125218212118324,1448,0,120,40,1.0,True
10,10,1263.0689085300269,52.247236130454766,-61.39660926224862,1.519347965284234,1.107948785201799,1131,0,190,40,1.0,True
10,10,1151.0244361266425,51.57653155042814,-63.599161457787346,1.4974248346903343,1.0148908352510604,918,0,210,60,1.0,True
10,10,1119.1101496781034,51.03132413643921,-62.15478467615401,1.4931146062151652,1.0082034947226028,902,0,220,60,1.0,True
10,10,1118.59047855069,50.96217012513744,-60.22923013071386,1.5205020087334535,1.073527613750537,1009,0,200,50,1.0,True
10,10,1181.5510702940394,50.48976221754195,-58.1510850545943,1.5941822041543192,1.0305218658600757,966,0,220,50,1.0,True
10,10,1158.6523862149265,50.08269337842084,-59.9550377499785,1.5089335084933995,1.0791806425372992,1091,0,200,40,1.0,True
10,10,1140.3029738690302,49.841742012238434,-67.73226129843918,1.4930839213821945,0.9940924814493202,942,0,200,60,1.0,True
10,10,1123.4643286564487,49.57653051386232,-62.483287100536884,1.4961537176249355,1.0218921057727344,722,0,220,110,1.0,True
10,10,1081.266487052521,49.109409917736734,-58.50329597019074,1.5572485676871137,1.0955391429874406,1046,0,190,50,1.0,True
10,10,1078.213183726534,48.5387349326038,-57.687170984624984,1.4913800871034977,1.0560226571209663,1063,0,210,40,1.0,True
10,10,896.6069471287574,44.51395422016978,-56.66664853390161,1.4503752275409842,1.0063790157242098,1046,0,220,40,1.0,True
