breadth_min,breadth_strong,breadth_ultra,base_total,strong_total,ultra_total,p1,p2,p3,trail1,trail2,trail3,edge,ultra_ema,cooldown,max_total,start,end,return_pct,multiple,mdd_pct,liquidated
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-19.918140729242495,0.800818592707575,-20.246698175579425,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-17.300668115240637,0.8269933188475936,-20.199179242072795,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-18.014084197509117,0.8198591580249088,-20.504369487116325,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,26.599803520819208,1.265998035208192,-23.04071411837412,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,-16.973176650332345,0.8302682334966766,-20.274912962437895,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2023-12-01 00:00:00+00:00,2025-11-30 00:00:00+00:00,113.44543716084065,2.1344543716084066,-20.469420991879005,0
0.4,0.6,0.7,0.9,1.2,1.8,1.25,1.7,2.2,0.18,0.14,0.1,0.035,1.1,24,2.5,2024-05-29 00:00:00+00:00,2026-05-29 00:00:00+00:00,-17.081280301430514,0.8291871969856949,-20.276001532214295,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-01-01 00:00:00+00:00,2020-01-01 00:00:00+00:00,180.0211529228505,2.800211529228505,-21.782522571966943,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-06-30 00:00:00+00:00,2020-06-29 00:00:00+00:00,11.096443252662901,1.110964432526629,-20.415022656972226,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2018-12-27 00:00:00+00:00,2020-12-26 00:00:00+00:00,-22.38361602191712,0.7761638397808288,-23.83307453649024,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-06-25 00:00:00+00:00,2021-06-24 00:00:00+00:00,21.052031577831777,1.2105203157783178,-21.321524782672117,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2019-12-22 00:00:00+00:00,2021-12-21 00:00:00+00:00,-1.952141255437545,0.9804785874456245,-20.313669463228614,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-06-19 00:00:00+00:00,2022-06-19 00:00:00+00:00,45.159147556731874,1.4515914755673187,-31.0078862986394,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2020-12-16 00:00:00+00:00,2022-12-16 00:00:00+00:00,123.20090074024873,2.232009007402487,-25.459453198154836,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-06-14 00:00:00+00:00,2023-06-14 00:00:00+00:00,-19.40423698524055,0.8059576301475945,-20.35509339775532,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2021-12-11 00:00:00+00:00,2023-12-11 00:00:00+00:00,-17.091621027240965,0.8290837897275903,-20.18556129932183,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-06-09 00:00:00+00:00,2024-06-08 00:00:00+00:00,-18.072832163539843,0.8192716783646016,-20.634421370882773,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2022-12-06 00:00:00+00:00,2024-12-05 00:00:00+00:00,24.07540180761758,1.2407540180761758,-22.054849524135957,0
0.4,0.6,0.7,0.9,1.2,2.0,1.4,1.9,2.4,0.14,0.11,0.09,0.035,1.1,24,2.5,2023-06-04 00:00:00+00:00,2025-06-03 00:00:00+00:00,-17.25268364458111,0.8274731635541889,-20.54330477300065,0
